Source,Target,Weight,Sqrt_Weight
Argentina,Australia,0.00014890315409697366,0.012202588008163418
Argentina,Austria,2.4036569166110216e-05,0.0049027103897854515
Argentina,Belgium,7.031046065543239e-05,0.008385133311726915
Argentina,Bermuda,1.2506265851707971e-05,0.0035364199201604963
Argentina,Brazil,0.002196037125448602,0.04686189417264951
Argentina,British Virgin Islands,3.21629403351833e-05,0.005671237989644175
Argentina,Canada,0.0002536471360696869,0.015926303276959375
Argentina,Cayman Islands,9.377639185903212e-06,0.0030622931254050798
Argentina,Chile,0.000247217700870767,0.015723158107414904
Argentina,China,0.001103980456638178,0.03322620135733512
Argentina,Colombia,4.124552516552176e-05,0.006422267914492649
Argentina,Cyprus,2.7212707382255106e-07,0.0005216580046568355
Argentina,Czechia,9.424324539151077e-07,0.000970789603320466
Argentina,Denmark,0.00023572985083388005,0.01535349637163731
Argentina,Finland,1.0160709152060136e-05,0.0031875867285550263
Argentina,France,0.0004328678372460615,0.020805476136009516
Argentina,Germany,0.0003250102694700013,0.018028041198921232
Argentina,"Hong Kong, China",0.0002525089510988137,0.015890530233406742
Argentina,Hungary,3.999718837350728e-05,0.0063243330378394275
Argentina,India,5.7923069018907323e-05,0.007610720663571048
Argentina,Indonesia,1.3602909537457787e-06,0.0011663151176872306
Argentina,Ireland,0.0,0.0
Argentina,Italy,9.844378426977882e-05,0.009921884108866562
Argentina,Japan,0.0002912861735217967,0.017067107942524903
Argentina,Luxembourg,0.00017103949844149714,0.013078207004077323
Argentina,Malaysia,5.314560319982004e-06,0.0023053330171543553
Argentina,Mexico,0.0015792403685820843,0.0397396573787707
Argentina,Netherlands,0.000586066212968547,0.024208804451450034
Argentina,Norway,2.6613879272000255e-05,0.005158864145526635
Argentina,Poland,5.685376970140681e-06,0.0023844028539952472
Argentina,Republic of Korea,6.961138431304072e-05,0.008343343712987061
Argentina,Saudi Arabia,2.0043940912275184e-07,0.0004477046002921478
Argentina,Singapore,0.00035845584994846164,0.01893293030538225
Argentina,Spain,0.001988893478892726,0.044597011995118306
Argentina,Sweden,5.803736936357091e-05,0.007618226129721467
Argentina,Switzerland,0.001238987246340831,0.03519925065027423
Argentina,United Arab Emirates,5.4691369315973294e-06,0.0023386185947258113
Argentina,United Kingdom,0.0005281327647080388,0.02298113932571749
Argentina,United States,0.0027842613529830006,0.05276610041478336
Australia,Austria,5.764187606057341e-05,0.007592224710885039
Australia,Belgium,0.0002534185738197652,0.015919126038189572
Australia,Bermuda,0.001029483739785297,0.0320855690269831
Australia,Brazil,0.00034361968161083134,0.018536981458987096
Australia,British Virgin Islands,0.00033029435795198936,0.018174002254649067
Australia,Canada,0.0007600944226364614,0.02756980998549793
Australia,Cayman Islands,0.0002371752257101032,0.015400494333303176
Australia,Chile,7.990078743779438e-05,0.008938724038574765
Australia,China,0.00026908723384445334,0.01640387862197393
Australia,Colombia,3.979450095807101e-12,1.994855908532519e-06
Australia,Cyprus,1.4960984261179852e-05,0.0038679431564049454
Australia,Czechia,3.979450095807101e-12,1.994855908532519e-06
Australia,Denmark,7.839516688739988e-05,0.008854104522050769
Australia,Finland,2.6077408249403444e-05,0.005106604375649581
Australia,France,0.0007225906697029305,0.02688104666308458
Australia,Germany,0.00038401693424538525,0.019596350023547378
Australia,"Hong Kong, China",0.00018902387955083727,0.013748595548303735
Australia,Hungary,2.0112363652381776e-06,0.0014181806532449163
Australia,India,0.00021511207992742275,0.014666699694458284
Australia,Indonesia,0.0003424115141927114,0.018504364733562494
Australia,Ireland,0.0,0.0
Australia,Italy,1.1938350287421304e-05,0.0034551917873572955
Australia,Japan,0.003573560313679669,0.05977926324135878
Australia,Luxembourg,0.00022214788903174488,0.014904626430465974
Australia,Malaysia,0.0005304606977710865,0.023031732409245435
Australia,Mexico,5.187195316235825e-05,0.007202218627781182
Australia,Netherlands,0.006742156049039254,0.08211063298403717
Australia,Norway,3.9328416860849225e-05,0.006271237267146669
Australia,Poland,1.4719284235978254e-05,0.003836571938068965
Australia,Republic of Korea,0.0,0.0
Australia,Saudi Arabia,1.5642327123734117e-05,0.003955038194977909
Australia,Singapore,0.0015663698714818992,0.03957739091301875
Australia,Spain,3.885968904345392e-06,0.0019712861041323738
Australia,Sweden,0.00020852318502029207,0.014440331887470318
Australia,Switzerland,0.0,0.0
Australia,United Arab Emirates,0.0,0.0
Australia,United Kingdom,0.00855740949346864,0.09250626731994238
Australia,United States,0.018513488205326972,0.13606427968179957
Austria,Austria,0.0,0.0
Austria,Belgium,0.0002895046833737317,0.017014837153899877
Austria,Bermuda,0.0,0.0
Austria,Brazil,0.0,0.0
Austria,British Virgin Islands,0.0,0.0
Austria,Canada,0.0006126877639184567,0.024752530454853636
Austria,Cayman Islands,0.0,0.0
Austria,Chile,0.0,0.0
Austria,China,9.03877869725381e-05,0.009507249180101367
Austria,Colombia,8.986829571536764e-05,0.00947988901387393
Austria,Cyprus,3.477942169389125e-05,0.005897408048786454
Austria,Czechia,0.000668621403165128,0.02585771457737764
Austria,Denmark,1.942984452172696e-06,0.0013939097718908122
Austria,Finland,0.0001321229427477433,0.011494474444172873
Austria,France,0.0008529701745038133,0.029205653125787365
Austria,Germany,0.0009370929816835983,0.03061197448195066
Austria,"Hong Kong, China",0.0,0.0
Austria,Hungary,0.0019477840696411088,0.04413370672899693
Austria,India,2.2020490457957216e-05,0.004692599541614138
Austria,Indonesia,6.042727907004731e-05,0.0077734985090400135
Austria,Ireland,5.432846831175901e-05,0.007370784782623829
Austria,Italy,0.000764816969908738,0.02765532444048954
Austria,Japan,0.0006897594805213068,0.02626327246405723
Austria,Luxembourg,0.0004455911010316049,0.021109028898355437
Austria,Malaysia,0.0004562573560787333,0.021360181555378534
Austria,Mexico,1.1560376665474913e-05,0.0034000553915303957
Austria,Netherlands,0.00016515367843467912,0.012851213111402329
Austria,Norway,0.0007751372269181328,0.027841286373264666
Austria,Poland,0.000152697324425765,0.012357075884923787
Austria,Republic of Korea,0.0,0.0
Austria,Saudi Arabia,0.0002071578127066153,0.014392977895717595
Austria,Singapore,0.0,0.0
Austria,Spain,0.0005628178296460242,0.023723781942304734
Austria,Sweden,0.00026145306944837444,0.016169510488829725
Austria,Switzerland,0.0,0.0
Austria,United Arab Emirates,0.00025388330175056556,0.015933715880188323
Austria,United Kingdom,7.445049238331499e-12,2.7285617527062677e-06
Austria,United States,0.001247978317781957,0.03532673658550924
