Country,FDI_Value
Argentina,25529.823505305223
Australia,76021.69371874107
Austria,19817.717949239566
Belgium,56175.570819601715
Bermuda,15848.735501911067
Brazil,58450.51307167551
British Virgin Islands,49783.63630295465
Canada,154746.22465527724
Cayman Islands,18031.25400148897
Chile,19839.202872832444
China,231204.15783563606
Colombia,14263.517604930557
Cyprus,16242.618983101067
Czechia,15048.082259839102
Denmark,24669.663776052585
Finland,14714.243074532267
France,133132.4110976567
Germany,188295.74506671185
"Hong Kong, China",246628.0968377432
Hungary,16331.564055525
India,40209.43785474162
Indonesia,19501.44802910446
Ireland,57331.54971944302
Italy,46551.82930603382
Japan,113914.3288356133
Luxembourg,155761.15123542474
Malaysia,18280.01345063169
Mexico,44379.07099963965
Netherlands,156140.37338140578
Norway,41449.53795798859
Poland,30977.929869758795
Republic of Korea,24578.22515969452
Saudi Arabia,31737.54631271653
Singapore,194360.49713229318
Spain,70763.64313250143
Sweden,59219.55380453095
Switzerland,97402.50628866028
United Arab Emirates,10306.434832273253
United Kingdom,164095.9301800424
United States,567256.0694542647
